d3mIndex,video,label
0,Prelinger_HabitPat1954_brush_hair_u_cm_np1_le_med_10.avi,0
1,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0.avi,0
2,brushing_jrs_hair_brush_hair_u_cm_np2_le_goo_0.avi,0
3,Prelinger_HabitPat1954_brush_hair_u_nm_np1_le_goo_11.avi,0
4,Brushing_my_long_hair_brush_hair_u_nm_np1_ba_goo_2.avi,0
5,brush_my_hair_without_wearing_the_glasses_brush_hair_u_nm_np1_fr_goo_0.avi,0
6,red_head_brush_hair_u_cm_np1_le_goo_2.avi,0
7,brushing_hair_brush_hair_f_nm_np2_ba_goo_2.avi,0
8,Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0.avi,0
9,Lektion_3__-_Das_Haare_b_rsten_brush_hair_h_nm_np1_fr_med_1.avi,0
10,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_3.avi,0
85,Jessica_Heinz_-_Leverkusen_Cup_2006__floor_routine_cartwheel_f_cm_np1_ri_med_0.avi,1
86,Parada_de_mao_cartwheel_f_cm_np1_fr_med_3.avi,1
87,Simon_Bodenturnen_cartwheel_f_cm_np1_fr_med_4.avi,1
88,boden__bung_gaurunde_cartwheel_f_cm_np1_le_med_0.avi,1
89,Ein_guter_Radschlag_cartwheel_f_nm_np1_ba_med_3.avi,1
90,How_to_Do_an_Aerial_-_Aerial_vs__Cartwheel_cartwheel_f_cm_np1_ri_med_1.avi,1
91,Gymnastics__-_Steps_to_Do_a_Cartwheel_cartwheel_f_nm_np1_le_med_0.avi,1
92,Cartwheel_Contest_cartwheel_f_cm_np2_fr_med_0.avi,1
93,Cartwheel_Competition_cartwheel_f_cm_np1_ri_med_5.avi,1
94,Handstandk_nig_cartwheel_f_cm_np1_ri_med_4.avi,1
95,Jessica_Heinz_-_Leverkusen_Cup_2006__floor_routine_cartwheel_f_cm_np1_le_med_5.avi,1
96,turnles!!_cartwheel_f_cm_np1_ri_med_3.avi,1
240,Goal_Keeping_Tips_catch_f_cm_np1_fr_med_2.avi,2
241,Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_u_cm_np1_le_med_1.avi,2
242,Frisbee_catch_f_cm_np1_ri_med_0.avi,2
243,Goalkeeper_Training_Day_#_7_catch_f_cm_np1_ri_med_0.avi,2
244,Handball_Passtraining_in_der_Zweiergruppe_(1)_catch_f_cm_np1_le_med_0.avi,2
245,torwart_de-Camp_2009_-_Hohe_B_lle_catch_f_cm_np1_ba_med_2.avi,2
246,Torwarttraining_Arminia_Bielefeld_catch_f_cm_np1_le_med_3.avi,2
247,torwart_de-Camp_2009-_Training_hoher_B_lle_mit_Airbodies_catch_f_cm_np1_ba_bad_1.avi,2
248,Seldin_Lipovic_-_Willi_Weber__Torwarttraining__catch_f_cm_np1_le_med_1.avi,2
249,Torwarttraining_catch_u_cm_np1_le_bad_7.avi,2
250,Seldin_Lipovic_-_Willi_Weber__Torwarttraining__catch_u_cm_np1_fr_bad_0.avi,2
